,1년간여행여부,1년간여가/문화활동,1년간교육학습,친목단체참여여부,자원봉사경험유무,종교종류,가장중요한활동,현재경제활동여부,향후근로희망여부,노인일자리참여여부,노인일자리참여의향,향후참여하고싶은유형
410,2,1,2,2,2,2,4,1,2,1,1,1
417,2,1,2,2,2,1,7,2,1,4,1,1
423,2,1,2,2,2,3,6,2,2,4,1,1
425,2,1,2,2,2,1,7,1,2,1,1,1
427,2,1,2,2,2,2,7,2,4,4,1,1
432,1,1,2,2,2,1,6,2,4,4,1,1
434,1,1,2,2,2,1,3,2,1,4,1,1
442,2,1,2,2,2,2,7,1,2,1,1,5
444,2,1,2,2,2,1,3,3,4,3,1,1
448,2,1,2,2,2,1,7,1,2,1,1,1
449,2,1,2,2,2,1,7,1,1,4,1,2
455,2,1,1,2,2,2,4,1,2,4,1,1
456,2,1,2,2,2,1,3,1,2,1,1,1
462,2,1,2,2,2,2,6,2,1,4,1,5
463,2,1,2,2,2,1,7,2,4,3,1,1
469,1,1,2,2,2,2,7,1,2,4,1,1
471,2,1,2,2,2,3,3,1,2,4,1,5
472,2,1,2,2,2,3,7,2,4,4,1,1
474,2,1,2,2,2,3,7,1,2,4,1,1
475,2,1,2,2,2,1,7,1,2,4,1,1
476,1,1,2,2,2,2,4,1,2,4,1,1
477,1,1,2,2,2,1,3,2,3,3,1,1
495,2,1,2,2,2,1,7,1,2,1,1,1
496,2,1,2,2,2,1,3,1,2,1,1,2
499,2,2,2,2,2,2,7,2,4,4,1,1
500,2,1,2,2,2,3,4,1,2,1,1,1
504,1,1,2,2,2,2,6,1,2,4,1,4
506,2,1,2,2,2,3,3,1,2,1,1,1
511,1,1,2,2,2,1,6,1,2,4,1,1
512,2,1,2,2,2,1,7,1,2,1,1,2
519,2,1,2,2,2,2,4,2,4,3,1,1
520,2,1,2,2,2,1,7,3,1,4,1,1
525,2,1,2,2,2,1,7,1,2,4,1,1
526,2,1,2,2,2,2,7,1,2,4,1,2
527,2,1,2,2,2,2,4,2,1,4,1,1
532,2,1,2,2,2,3,4,2,4,3,1,1
534,1,1,2,2,2,1,4,1,2,4,1,1
536,2,1,2,2,2,2,7,1,2,1,1,4
538,2,1,2,2,2,1,7,2,4,2,1,1
539,1,1,1,2,2,1,6,2,1,3,1,1
542,2,1,2,2,2,2,4,2,4,3,1,5
547,2,1,1,2,2,1,3,3,1,2,1,1
555,2,1,1,2,2,1,6,2,1,4,1,1
560,2,1,2,2,2,2,7,2,2,3,1,2
565,2,1,2,2,2,2,7,1,2,1,1,3
567,1,1,2,1,2,1,2,2,3,2,1,5
579,2,1,2,2,2,1,7,3,1,4,1,1
586,2,2,1,2,2,1,7,2,4,4,1,5
589,2,1,2,2,2,1,3,2,1,4,1,1
592,2,1,2,2,2,1,3,2,1,3,1,5
600,2,1,1,2,2,2,6,2,4,3,1,3
603,2,1,1,2,2,1,7,1,3,1,1,4
607,2,1,2,2,2,3,7,1,2,4,1,1
609,2,1,2,2,2,3,7,2,4,3,1,1
611,2,1,1,2,2,1,3,1,3,1,1,1
618,2,1,2,2,2,1,3,2,1,4,1,1
623,2,1,2,1,2,3,3,1,2,4,1,1
654,2,1,2,2,2,3,3,2,3,3,1,1
659,2,1,2,2,2,3,4,2,3,2,1,1
660,2,1,2,2,2,1,3,1,2,2,1,1
661,2,1,2,2,2,3,7,2,3,4,1,1
662,2,1,2,2,2,2,7,1,2,1,1,1
671,2,1,2,2,2,3,4,1,2,4,1,1
672,2,2,2,2,2,3,6,2,1,4,1,1
673,2,1,2,2,2,1,7,2,4,4,1,3
678,1,1,2,2,2,1,3,2,1,4,1,1
679,2,1,1,2,2,3,3,2,4,2,1,1
680,2,1,2,2,2,3,6,2,4,2,1,1
689,2,2,2,2,2,1,6,2,2,1,1,3
691,2,1,2,2,2,1,7,2,3,2,1,1
692,1,1,2,2,2,1,3,2,1,4,1,1
701,1,1,2,2,2,2,4,1,1,1,1,1
705,1,1,1,2,2,2,4,2,1,3,1,3
706,1,1,2,2,2,2,6,2,4,4,1,1
707,2,1,2,2,2,2,3,1,2,1,1,1
719,1,1,2,2,2,1,6,2,1,2,1,1
724,1,1,2,2,2,1,6,2,2,2,1,1
731,2,1,2,2,2,2,6,2,1,2,1,1
734,2,1,2,2,2,1,3,1,2,1,1,1
736,1,1,1,2,2,1,3,1,2,4,1,1
739,1,1,2,2,2,1,6,2,2,4,1,2
742,2,1,2,2,2,1,3,2,1,2,1,1
746,2,1,2,2,2,1,3,1,2,1,1,1
750,2,1,2,2,2,2,7,1,2,3,1,1
756,1,1,1,2,2,1,7,2,1,4,1,1
757,2,1,2,2,2,1,6,2,4,4,1,1
760,2,1,2,2,2,2,7,1,2,3,1,1
764,2,1,2,1,2,2,3,2,4,4,1,1
771,2,1,2,2,2,3,1,1,1,3,1,1
773,2,1,1,2,2,2,4,2,1,4,1,1
777,2,1,2,2,2,3,4,2,4,3,1,1
781,2,1,2,2,2,1,7,1,2,2,1,1
786,2,1,2,2,2,3,7,1,2,1,1,5
793,2,1,2,2,2,3,7,1,2,1,1,3
801,2,1,2,2,2,2,7,2,3,3,1,3
804,2,1,2,2,2,2,7,2,4,2,1,3
805,2,1,2,2,2,2,7,1,2,1,1,3
811,2,1,2,2,2,2,7,1,3,1,1,3
815,1,1,2,2,1,2,4,2,4,2,1,1
820,2,1,1,2,2,1,4,2,2,2,1,1
822,2,1,2,2,2,1,2,1,2,2,1,1
823,2,1,2,2,2,2,3,1,2,4,1,1
825,2,1,1,2,1,3,1,2,2,4,1,2
827,1,1,1,2,2,2,6,2,4,4,1,1
830,1,1,2,2,2,2,7,1,2,4,1,4
832,2,1,2,2,2,2,4,1,2,1,1,1
834,2,1,1,2,2,1,6,1,2,4,1,1
853,2,1,2,2,2,1,3,1,2,4,1,1
854,2,1,1,2,2,2,3,2,4,4,1,1
855,2,1,2,2,2,2,7,2,2,4,1,1
856,1,1,1,2,2,1,3,1,4,4,1,1
858,2,1,2,2,2,2,3,1,2,1,1,1
860,2,1,2,2,2,1,6,2,2,3,1,2
864,2,1,2,2,2,1,7,1,2,1,1,1
869,2,1,2,2,2,1,3,1,2,1,1,1
870,2,1,2,2,2,2,4,1,2,4,1,5
871,2,1,2,2,2,1,3,2,4,4,1,1
877,2,1,2,2,2,2,3,1,2,1,1,1
882,2,1,2,2,2,2,7,1,2,2,1,1
883,2,1,2,2,2,1,7,1,3,4,1,1
887,2,1,2,2,2,3,3,1,3,2,1,3
891,2,1,2,2,2,2,7,1,1,4,1,3
892,2,1,2,2,2,2,3,2,4,2,1,3
899,1,2,2,2,2,1,7,1,2,4,1,1
900,2,2,2,2,2,4,7,1,2,2,1,2
901,2,1,2,2,2,4,7,2,4,3,1,5
911,1,1,1,2,2,2,6,1,2,1,1,5
919,1,1,1,2,2,2,4,2,4,2,1,3
923,2,1,2,2,2,2,3,1,2,4,1,1
928,2,1,2,2,2,3,4,1,2,1,1,3
936,2,1,2,2,2,1,3,2,4,4,1,1
939,1,1,2,2,2,2,4,2,1,2,1,1
941,2,1,2,2,2,1,3,1,2,1,1,1
945,2,1,2,2,2,3,6,1,2,1,1,5
953,2,2,2,2,2,1,3,2,4,4,1,5
955,1,1,2,2,2,3,6,2,1,4,1,4
957,2,2,2,2,2,3,3,1,2,4,1,1
958,1,1,2,2,2,3,3,2,4,4,1,3
960,1,1,2,2,2,3,6,2,4,4,1,2
965,2,1,2,2,2,1,4,2,1,3,1,1
968,1,1,1,2,2,3,3,2,2,4,1,3
970,2,1,2,2,2,2,7,2,1,3,1,3
973,2,1,2,2,2,2,6,1,2,1,1,5
977,2,1,2,2,2,2,3,1,2,1,1,1
980,2,1,2,2,2,2,6,1,2,1,1,1
981,2,1,1,2,2,2,4,1,2,2,1,1
983,1,1,1,2,2,2,4,1,2,4,1,1
984,2,1,2,2,1,3,1,1,2,1,1,4
986,2,1,1,2,2,1,3,2,1,4,1,1
990,2,1,2,2,2,2,3,2,4,3,1,3
991,2,1,2,2,2,1,7,1,2,4,1,3
995,1,1,1,2,2,2,7,2,3,3,1,1
997,2,1,1,2,2,1,7,2,4,4,1,1
998,2,1,2,2,2,1,7,2,1,3,1,2
1003,1,1,2,2,2,2,3,2,4,2,1,1
1007,2,1,2,2,2,3,7,1,2,4,1,3
1011,1,1,2,2,2,1,6,2,4,4,1,3
1013,2,1,2,2,2,3,7,1,2,4,1,1
1017,2,1,2,2,2,2,7,1,2,1,1,3
1018,2,1,2,2,2,2,4,2,1,4,1,5
1031,2,1,2,2,2,3,7,1,3,2,1,4
1032,2,1,2,2,2,1,3,3,1,4,1,1
1036,2,1,2,2,2,3,3,1,1,1,1,1
1041,1,1,2,2,2,2,4,1,2,3,1,1
1050,2,1,1,2,2,2,7,1,2,4,1,5
1063,2,1,2,2,2,3,7,1,2,4,1,2
1070,2,1,2,2,2,1,3,2,4,2,1,5
1076,2,1,2,2,2,2,4,3,4,3,1,1
1077,2,1,2,2,2,4,6,2,4,3,1,3
1092,2,1,2,2,2,1,7,3,4,2,1,1
1096,2,1,1,2,2,1,3,1,2,2,1,2
1107,2,1,1,2,2,3,7,1,2,4,1,1
1109,2,1,2,2,2,4,7,1,2,4,1,3
1113,2,1,2,2,2,1,3,2,1,4,1,4
1116,2,1,2,2,2,1,3,2,1,4,1,1
1121,2,1,2,2,2,3,3,2,4,4,1,1
1124,2,1,2,2,2,3,3,1,2,1,1,1
1130,2,1,2,2,2,1,3,1,2,1,1,1
1134,2,1,2,2,2,3,7,1,2,1,1,1
1140,2,1,2,2,2,1,3,3,4,4,1,1
1148,2,1,2,2,2,1,4,1,2,1,1,1
1155,2,1,2,2,2,1,7,1,2,4,1,1
1158,1,1,2,2,2,2,3,1,2,1,1,1
1159,2,1,2,2,2,3,3,1,1,4,1,1
1166,2,1,2,2,2,1,3,2,2,2,1,3
1170,2,1,2,1,2,3,7,1,2,2,1,4
1173,2,1,2,2,2,3,3,1,2,1,1,5
1176,1,1,2,2,2,3,7,1,2,1,1,1
1183,2,1,2,2,2,2,4,1,1,4,1,1
1190,2,1,2,2,2,4,7,2,2,4,1,1
1192,2,1,2,1,2,3,3,2,1,4,1,5
1195,1,1,2,2,2,2,3,2,4,4,1,3
1199,2,1,1,2,2,1,7,2,4,3,1,3
1200,2,1,2,2,2,2,7,1,2,1,1,1
1201,2,1,1,2,2,2,7,2,4,3,1,5
1204,2,2,2,2,2,1,7,2,1,4,1,1
1206,2,2,2,2,2,1,7,2,4,4,1,1
1207,2,1,2,2,2,3,3,1,4,4,1,1
1211,2,1,2,2,2,3,3,1,2,1,1,3
1214,1,1,2,2,1,3,7,2,3,3,1,1
1216,1,1,2,2,2,3,7,1,1,4,1,1
1220,2,1,2,2,2,1,7,2,4,4,1,1
1236,2,1,2,2,2,3,3,1,1,4,1,1
1239,2,1,2,2,2,2,4,1,2,1,1,1
1246,2,1,1,2,2,1,3,1,2,4,1,1
1250,1,1,2,2,1,3,3,2,4,1,1,1
1265,1,1,2,2,2,1,7,1,2,4,1,1
1266,2,1,2,2,2,1,7,1,2,4,1,1
1272,2,1,2,2,2,3,3,2,4,4,1,1
1281,2,1,2,2,2,3,7,1,2,1,1,1
1283,2,1,2,2,2,2,6,2,1,4,1,1
1286,2,1,2,2,2,2,7,2,1,4,1,1
1287,2,1,2,2,2,3,7,2,1,3,1,1
