,1년간여행여부,1년간여가/문화활동,1년간교육학습,친목단체참여여부,자원봉사경험유무,종교종류,가장중요한활동,현재경제활동여부,향후근로희망여부,노인일자리참여여부,노인일자리참여의향,향후참여하고싶은유형
2076,2,1,1,2,2,1,7,1,2,4,1,1
2082,2,2,2,2,2,1,6,2,1,2,1,1
2085,2,1,2,1,2,2,3,2,4,4,1,1
2087,2,1,2,2,2,1,7,1,2,1,1,1
2088,2,1,2,2,2,2,7,1,2,1,1,1
2093,1,1,1,2,2,1,6,1,2,1,1,1
2098,2,1,1,2,2,2,3,2,4,4,1,2
2101,2,1,2,2,2,1,7,2,4,3,1,1
2109,1,1,2,2,2,2,3,2,4,4,1,4
2111,2,2,2,2,2,2,3,2,3,4,1,1
2118,2,1,2,2,2,2,7,2,3,3,1,3
2119,2,1,1,2,1,2,1,3,1,1,1,1
2123,2,1,2,2,2,3,7,1,2,1,1,1
2125,2,1,2,2,2,3,7,2,4,3,1,5
2132,2,1,2,2,2,3,7,2,1,4,1,1
2134,1,1,2,2,2,2,6,2,4,2,1,5
2135,2,1,2,2,2,1,7,2,1,3,1,4
2147,2,1,1,2,2,1,7,1,1,4,1,1
2150,1,1,2,2,2,2,7,2,1,3,1,5
2151,2,1,2,2,2,2,6,2,3,2,1,1
2152,1,1,2,2,2,2,6,1,2,4,1,1
2155,2,1,2,2,2,1,7,1,1,1,1,1
2162,1,1,2,2,2,3,7,1,2,1,1,5
2179,2,1,2,2,2,1,7,1,1,1,1,2
2184,2,1,2,2,2,3,7,2,4,3,1,1
2185,1,1,1,2,2,1,3,3,1,4,1,1
2186,1,1,1,2,2,3,3,2,4,3,1,2
2192,2,1,2,2,2,1,7,2,4,3,1,1
2193,2,1,2,2,2,2,3,2,1,4,1,1
2206,1,1,2,2,2,1,6,3,1,4,1,1
2221,2,1,2,2,2,1,7,2,4,3,1,1
2224,2,1,2,2,2,1,3,3,1,4,1,1
2227,2,1,2,2,2,3,7,2,4,4,1,1
2229,1,1,2,2,2,2,7,1,2,1,1,5
2230,2,1,2,2,2,1,4,2,2,3,1,3
2232,2,1,2,2,2,3,7,2,4,3,1,1
2236,2,1,1,2,2,2,4,3,1,3,1,1
2240,1,1,2,2,2,2,7,2,3,2,1,3
2243,2,1,1,2,2,3,7,1,2,1,1,4
2245,2,1,2,2,2,1,4,2,1,1,1,1
2249,2,1,2,2,2,2,3,1,1,1,1,3
2250,2,1,2,2,1,2,7,1,2,1,1,1
2260,2,1,2,2,2,2,7,1,2,1,1,1
2263,2,1,2,2,2,2,7,1,3,4,1,2
2266,1,1,2,2,2,2,7,2,2,2,1,4
2267,2,1,2,2,2,3,7,2,4,4,1,2
2268,2,1,2,2,2,2,4,2,2,2,1,1
2269,2,1,2,2,1,3,4,1,2,1,1,1
2274,1,1,2,1,1,1,7,1,3,1,1,1
2281,2,1,1,2,2,2,4,1,2,1,1,1
2283,1,1,2,2,1,2,4,3,1,4,1,1
2284,2,1,2,2,2,3,7,2,2,4,1,3
2291,2,1,2,2,2,3,4,1,2,4,1,5
2294,2,1,2,2,2,2,4,3,4,4,1,1
2295,2,1,2,2,2,2,7,2,4,4,1,1
2296,2,1,2,2,2,3,7,2,1,4,1,1
2301,2,1,2,2,2,2,4,1,2,1,1,1
2302,2,1,2,2,2,2,7,1,2,4,1,3
2304,2,1,2,2,2,3,3,2,4,4,1,2
2305,2,1,2,2,1,2,1,2,1,2,1,1
2309,2,1,2,2,2,3,6,2,1,4,1,1
2312,2,1,2,2,2,2,4,2,4,4,1,1
2314,1,1,2,2,2,2,4,2,1,4,1,1
2319,2,1,2,2,2,3,7,1,2,2,1,5
2324,2,1,2,2,2,2,7,1,1,1,1,3
2326,2,1,2,2,2,3,3,2,1,3,1,1
2328,2,1,2,2,2,3,4,1,2,1,1,1
2333,2,1,2,2,2,3,7,2,1,4,1,2
2340,2,1,2,2,2,1,6,3,4,4,1,1
2341,2,1,2,2,2,2,7,1,1,1,1,3
2343,2,1,2,2,2,3,7,2,3,3,1,3
2349,1,1,2,2,2,3,3,3,4,4,1,1
2350,1,1,2,2,2,2,3,2,4,4,1,2
2357,1,1,2,2,2,2,3,2,3,4,1,1
2358,1,1,1,2,2,2,3,1,2,4,1,2
2367,1,1,2,2,2,1,6,3,1,4,1,1
2371,2,1,2,2,2,3,7,2,4,3,1,3
2384,2,1,2,2,2,3,4,1,2,1,1,1
2386,1,1,2,2,2,1,7,3,4,4,1,1
2396,1,1,1,2,2,3,4,1,2,1,1,1
2408,2,1,2,2,2,2,7,2,2,3,1,3
2411,2,2,1,2,2,1,3,2,1,4,1,1
2414,2,1,1,2,2,1,7,2,2,3,1,3
2433,2,1,2,2,2,1,3,1,2,4,1,2
2435,2,1,2,2,2,2,4,2,4,3,1,1
2450,2,1,2,2,2,3,3,2,1,3,1,3
2455,1,1,2,2,2,2,3,2,4,4,1,1
2465,1,1,2,2,2,2,3,1,2,1,1,2
2468,2,2,2,2,2,2,6,2,4,3,1,1
2474,2,1,2,2,2,2,3,1,2,1,1,3
2484,2,1,1,2,2,2,4,2,1,3,1,3
2495,2,1,2,2,2,2,4,2,1,3,1,3
2505,2,1,2,2,2,2,3,2,1,4,1,2
2518,1,1,2,2,2,2,3,2,1,4,1,1
2519,2,1,2,2,2,2,7,1,2,1,1,5
2522,1,2,2,2,2,1,3,1,2,4,1,2
2525,1,1,1,2,2,1,7,1,1,4,1,2
2527,1,1,2,2,2,2,6,1,2,1,1,1
2534,1,1,2,2,2,1,3,2,4,4,1,5
2539,2,1,2,2,2,2,4,2,1,4,1,5
2547,2,1,2,2,2,5,3,2,4,3,1,3
2551,2,1,2,2,2,1,6,2,1,4,1,1
2560,2,1,1,2,2,2,4,2,4,4,1,4
2562,2,1,2,2,2,2,3,2,1,4,1,5
2567,1,1,2,2,2,1,2,2,4,3,1,1
2574,1,1,2,2,2,1,6,2,4,4,1,5
2575,2,1,2,2,2,1,6,3,1,4,1,1
2576,2,1,2,2,2,1,7,1,2,2,1,1
2581,1,1,2,1,2,2,7,1,2,4,1,1
2586,2,1,2,2,2,2,6,1,2,4,1,2
2596,2,1,2,2,2,2,7,2,4,4,1,5
2598,2,1,2,2,2,1,7,1,2,4,1,3
2601,2,1,1,2,2,1,6,1,2,1,1,2
2621,1,1,2,2,2,2,3,2,1,4,1,1
2622,2,1,1,2,2,2,3,1,2,1,1,1
2636,1,1,2,2,2,2,3,1,2,1,1,2
2641,2,2,1,2,2,1,3,2,4,2,1,1
2658,2,1,2,2,2,2,7,1,3,4,1,3
2661,2,1,2,2,2,2,4,1,2,1,1,1
2674,1,2,1,2,2,2,3,2,4,4,1,1
2688,1,1,2,2,2,1,6,2,3,2,1,2
2694,2,1,2,2,2,2,4,2,1,2,1,5
2696,2,1,2,2,2,2,7,2,4,4,1,1
2710,2,1,1,2,2,2,3,1,2,4,1,1
2717,2,1,2,2,2,2,3,3,1,4,1,1
2718,1,1,2,2,2,1,4,2,4,4,1,4
2719,2,1,2,2,2,1,7,2,4,4,1,2
2721,2,1,2,2,2,2,7,1,2,1,1,1
2737,2,1,1,2,2,1,3,2,1,3,1,1
2748,2,2,1,2,2,1,6,1,2,1,1,5
2751,2,1,2,2,2,2,3,2,4,3,1,3
2757,1,1,2,2,2,2,4,1,1,2,1,1
2758,2,1,2,1,2,1,3,2,1,4,1,3
2765,2,1,1,2,2,2,7,1,2,4,1,2
2766,2,1,2,2,2,2,7,2,1,3,1,1
2781,2,1,2,1,2,2,3,2,1,4,1,5
2790,2,1,2,1,2,1,7,2,4,3,1,3
2791,2,1,1,2,2,2,7,2,4,4,1,3
2794,1,1,2,1,2,1,3,1,2,4,1,1
2796,1,1,2,2,1,2,4,1,4,3,1,1
2803,2,1,2,2,2,2,7,2,3,3,1,1
2823,1,1,2,2,2,2,7,1,2,1,1,1
2840,2,1,2,2,2,1,3,2,4,2,1,3
2844,1,1,2,1,1,3,6,2,4,4,1,5
2855,2,1,2,2,2,2,3,1,2,4,1,2
2861,1,1,2,2,2,1,6,2,1,4,1,1
2868,1,1,2,2,2,1,6,2,1,4,1,1
2874,2,1,2,2,2,1,4,1,2,1,1,4
2884,2,1,2,2,2,1,6,2,4,4,1,2
2887,2,1,2,2,2,2,7,2,4,4,1,2
2892,1,1,2,2,2,2,3,2,4,4,1,2
2902,2,1,1,2,1,1,7,1,2,1,1,1
2912,1,1,2,2,2,2,3,2,4,4,1,5
2913,2,1,2,2,2,1,7,1,2,1,1,1
2916,2,1,2,2,2,1,3,2,4,3,1,1
2918,1,1,2,2,2,1,7,1,2,1,1,1
2923,1,2,2,2,2,2,7,1,2,4,1,3
2925,2,1,2,2,2,1,3,2,4,2,1,2
2928,2,1,2,2,2,2,7,1,1,2,1,3
2932,2,1,2,2,2,2,7,2,3,1,1,4
2939,1,1,2,2,2,2,7,1,2,4,1,3
2942,2,1,2,2,2,3,7,1,2,1,1,3
2946,1,1,1,2,2,1,3,2,1,4,1,1
2950,2,1,2,2,2,1,3,1,1,4,1,1
2952,1,1,2,2,2,3,3,2,1,4,1,1
2953,2,1,2,2,2,2,3,2,3,4,1,2
2966,1,1,2,2,2,1,6,1,2,1,1,5
2972,2,1,2,2,2,2,4,2,4,4,1,1
2973,2,1,1,2,2,2,6,1,2,1,1,1
2978,1,1,1,2,2,2,7,1,2,4,1,1
2980,1,1,2,2,2,1,7,1,2,1,1,4
2982,1,1,2,2,1,1,3,2,4,4,1,1
2987,2,1,2,2,2,1,3,2,1,2,1,3
2994,2,1,2,2,2,1,7,1,2,1,1,1
2995,1,2,2,2,2,1,6,1,2,4,1,5
2998,2,1,2,2,2,1,7,2,1,3,1,1
3001,2,1,2,2,2,2,3,1,2,1,1,3
3002,2,1,1,2,2,2,3,2,4,4,1,1
3026,1,1,2,2,2,2,3,3,4,4,1,1
3030,2,1,2,2,2,1,3,1,2,1,1,1
3032,2,1,2,2,2,2,7,2,1,1,1,4
3036,2,1,2,2,2,1,6,1,2,1,1,5
3041,2,1,1,2,2,2,4,1,2,4,1,3
3042,1,1,2,2,2,2,3,1,4,4,1,2
3043,2,2,2,2,2,0,7,3,1,4,1,5
3049,2,1,2,2,2,2,4,1,1,1,1,1
3062,1,1,2,2,2,3,7,1,2,4,1,1
3063,2,1,2,2,2,2,4,2,1,4,1,1
3067,2,1,2,2,2,1,7,1,3,4,1,1
3077,2,1,1,2,2,2,4,2,4,4,1,1
3086,2,1,2,2,2,1,7,2,4,3,1,1
3087,1,1,2,1,1,3,4,2,2,4,1,5
3088,2,1,2,2,2,3,3,2,4,4,1,1
3092,2,1,2,2,2,3,7,1,2,1,1,4
3103,1,1,2,2,1,3,7,2,4,3,1,1
3110,2,1,2,2,2,0,7,1,2,1,1,5
3116,2,1,2,2,2,0,3,2,4,4,1,1
3117,2,1,1,2,2,0,6,1,2,1,1,1
3122,1,1,2,1,2,0,3,2,1,4,1,5
3128,2,1,1,2,2,2,7,1,2,1,1,1
3149,2,1,1,2,2,1,2,2,1,2,1,1
3151,2,1,2,2,2,0,7,1,2,4,1,1
3152,2,1,2,2,2,0,3,2,1,3,1,5
3160,2,1,2,2,2,1,3,3,1,1,1,3
3161,2,1,2,2,2,2,6,1,1,3,1,5
3162,2,1,2,1,2,0,3,2,1,4,1,2
3165,2,1,1,2,2,0,3,2,1,4,1,1
3168,1,1,2,2,2,1,3,2,4,4,1,5
3174,2,1,2,2,2,2,4,1,2,4,1,5
3179,2,1,2,2,2,0,7,1,1,1,1,1
3182,2,1,2,1,2,1,3,2,4,4,1,5
3183,2,2,2,2,2,0,6,2,1,4,1,4
3185,2,2,2,2,2,0,3,2,1,4,1,1
3190,2,2,2,2,2,0,7,1,2,1,1,1
3191,1,2,2,2,2,0,6,1,2,3,1,1
3196,2,1,2,2,2,1,6,1,2,1,1,1
3198,1,2,2,2,2,0,7,1,2,1,1,1
3200,2,1,1,2,2,1,6,1,2,1,1,1
3202,2,2,2,2,2,0,7,1,2,1,1,5
3203,2,1,2,2,2,0,7,1,2,1,1,1
3204,2,1,2,2,2,2,7,1,2,2,1,4
3205,2,1,2,2,2,1,3,2,1,4,1,2
3210,2,1,1,2,2,2,7,1,3,4,1,5
3219,2,1,2,2,2,2,5,2,4,4,1,5
3221,2,1,2,2,2,2,7,1,2,1,1,3
3222,1,1,2,2,2,3,4,2,4,4,1,5
3224,2,1,2,2,2,1,6,3,1,4,1,4
3228,2,1,2,2,2,1,2,2,1,4,1,5
3232,1,1,2,2,2,1,4,1,2,2,1,4
3237,2,1,2,2,2,1,3,1,2,1,1,1
3245,2,1,2,2,2,0,3,2,4,2,1,1
3246,2,1,2,2,2,0,6,2,1,2,1,1
3250,2,1,2,2,1,1,7,2,2,2,1,1
3254,1,1,1,2,2,0,3,2,4,4,1,3
3281,2,1,2,2,2,0,7,1,2,4,1,1
3308,2,1,2,2,2,0,7,1,2,4,1,1
3311,1,1,2,2,2,0,7,1,2,1,1,5
3315,2,1,1,2,1,0,7,2,4,3,1,5
3316,1,1,1,2,2,1,3,2,4,4,1,4
3317,2,1,2,2,2,1,3,1,2,1,1,1
3320,2,1,2,2,2,0,7,1,2,1,1,1
3324,2,2,2,2,2,0,6,1,2,1,1,1
3330,1,1,2,2,2,0,3,1,2,1,1,2
3339,2,2,2,2,2,0,3,1,2,1,1,1
3344,2,1,2,2,2,0,3,1,2,1,1,1
3345,1,1,2,2,2,3,4,1,2,4,1,5
3352,1,1,2,2,2,3,4,1,2,4,1,5
3355,2,1,2,2,2,2,3,2,1,1,1,2
3362,2,1,2,2,2,3,4,1,2,1,1,1
3366,1,1,2,2,2,3,4,2,1,3,1,1
3369,2,1,1,2,2,0,3,1,2,1,1,1
3371,1,1,2,2,2,2,4,2,4,3,1,2
3375,2,1,2,2,2,2,4,1,2,1,1,1
3376,2,2,2,2,2,0,7,2,4,4,1,5
3382,2,1,2,2,2,1,3,2,4,4,1,5
3383,1,1,2,2,2,1,7,2,1,3,1,5
3388,2,1,2,2,2,1,4,2,4,3,1,5
3392,1,1,2,2,2,2,4,2,3,4,1,1
3394,2,1,2,2,2,1,6,2,2,3,1,1
3396,2,2,2,2,2,1,7,1,2,1,1,1
3401,2,2,2,2,2,0,3,2,2,2,1,1
3407,1,1,2,2,2,0,3,2,1,4,1,5
3409,2,1,2,2,2,2,7,1,2,1,1,1
3418,2,1,2,2,2,0,7,1,2,4,1,3
3423,2,2,2,2,2,0,6,2,4,4,1,5
3427,2,1,2,2,2,0,6,1,2,3,1,2
3433,2,1,2,2,2,2,7,1,1,4,1,1
3434,2,2,2,2,2,0,7,1,2,4,1,5
3436,2,1,2,2,1,1,6,2,1,4,1,1
3437,2,2,2,2,2,2,7,1,2,1,1,1
3441,2,1,2,2,2,1,3,3,1,4,1,1
3445,1,1,2,2,2,0,6,1,2,4,1,1
3446,2,1,2,2,2,2,7,1,2,1,1,3
3447,2,1,2,2,2,1,7,2,4,2,1,1
3455,2,2,1,2,2,1,7,1,2,1,1,1
3457,2,1,2,2,2,0,3,2,4,4,1,1
3462,1,1,2,1,2,2,4,2,1,4,1,2
3463,2,1,2,2,2,2,4,2,4,3,1,1
3473,2,1,2,2,2,0,3,2,4,3,1,2
3478,2,1,2,2,2,1,7,2,4,3,1,1
3479,1,2,1,2,2,0,6,1,2,1,1,1
3480,2,2,1,2,2,0,7,1,2,4,1,2
3482,2,1,1,2,2,1,7,1,2,4,1,1
3490,2,2,2,2,2,0,7,1,1,1,1,1
3500,2,1,2,2,2,2,7,1,2,4,1,1
3502,2,2,1,2,2,0,7,1,2,1,1,1
3503,1,1,2,2,2,1,6,2,4,4,1,1
3508,2,2,2,2,2,0,3,2,1,4,1,1
3509,1,1,2,1,2,1,3,1,2,1,1,1
3515,2,2,1,2,2,0,6,3,1,4,1,1
3516,2,1,2,2,2,0,6,1,2,1,1,1
3520,2,2,2,2,2,0,3,1,1,1,1,1
3522,1,1,2,2,2,1,3,2,4,2,1,1
3525,2,1,2,2,2,1,6,1,2,1,1,1
3526,2,2,2,2,2,0,3,2,2,4,1,5
3530,2,1,2,2,2,0,6,1,2,1,1,1
3531,2,2,2,2,2,0,3,2,1,2,1,1
3534,2,1,2,2,2,0,7,1,2,1,1,1
3541,1,1,2,2,2,1,7,2,4,3,1,1
3544,2,1,2,2,2,1,6,1,2,1,1,1
3548,2,1,2,2,2,0,6,1,1,4,1,1
3554,1,2,2,2,2,0,7,1,2,4,1,4
3558,1,1,2,2,2,3,3,1,2,2,1,1
3567,2,1,2,2,2,2,4,1,2,1,1,1
3572,1,2,2,2,2,0,6,1,1,4,1,4
3581,1,1,2,2,2,1,7,2,1,4,1,5
3584,2,1,2,2,2,0,6,2,4,3,1,1
3588,1,2,2,2,2,0,7,1,2,1,1,1
3601,2,1,2,2,2,0,6,1,2,1,1,5
3602,2,2,2,2,2,0,7,2,1,3,1,1
3615,2,2,1,2,2,0,7,2,4,3,1,1
3622,2,1,2,2,2,2,7,1,2,1,1,1
3631,2,1,2,2,2,0,7,1,2,4,1,2
3643,1,2,2,2,2,0,7,1,2,4,1,5
3646,1,1,2,1,2,2,3,2,4,3,1,1
3651,2,2,2,2,2,0,3,3,1,4,1,1
3654,1,1,2,2,2,2,4,2,4,3,1,2
3655,2,1,2,2,2,2,4,1,2,4,1,3
3657,1,1,1,2,2,0,3,2,1,4,1,3
3660,2,2,2,2,2,0,3,2,4,4,1,1
3665,1,1,2,2,2,2,7,1,4,4,1,1
3673,1,1,1,2,2,1,7,1,2,1,1,3
3676,2,1,2,2,2,0,3,2,4,4,1,1
3684,2,1,2,2,2,1,7,1,2,1,1,1
3687,2,1,2,2,2,1,7,2,4,4,1,1
3691,2,1,2,2,2,1,7,1,4,1,1,1
3692,1,1,2,1,2,0,3,1,2,4,1,5
3694,2,2,2,2,2,0,7,1,2,1,1,1
3696,2,1,2,2,2,0,3,1,2,1,1,1
3698,2,1,2,2,2,2,7,1,2,1,1,1
3708,2,1,2,2,2,1,3,1,2,1,1,3
3711,2,2,2,2,2,0,3,2,1,4,1,1
3718,2,1,2,2,2,1,3,2,4,4,1,1
3720,2,1,2,2,2,0,6,2,1,4,1,1
3728,2,1,2,2,2,2,7,2,4,2,1,5
3736,1,1,1,2,2,0,7,1,2,1,1,1
3742,1,1,2,2,2,2,4,2,1,2,1,1
3743,2,1,2,1,2,2,3,2,1,4,1,1
3745,1,2,2,2,2,0,6,1,1,3,1,1
3750,1,1,2,2,2,2,7,1,3,2,1,1
3751,1,1,1,2,2,0,6,1,2,4,1,1
3755,2,2,1,2,2,0,6,1,2,1,1,1
3767,2,2,2,2,2,0,7,2,4,3,1,1
3775,2,1,2,2,2,1,3,1,2,1,1,1
3776,2,1,2,2,2,1,3,1,2,1,1,1
3777,2,2,2,2,2,0,6,2,2,2,1,3
3781,2,1,2,2,2,1,3,1,2,1,1,1
3782,2,1,2,2,2,1,3,1,2,1,1,1
3784,2,1,2,2,2,2,7,1,2,1,1,1
3788,2,1,2,1,2,1,6,1,2,1,1,1
3789,2,1,1,2,2,0,7,2,1,4,1,1
3793,2,1,2,2,2,0,7,3,4,4,1,1
3795,2,2,2,2,2,0,3,1,2,1,1,2
3798,2,1,2,2,2,1,3,1,2,1,1,1
3799,2,1,2,2,2,1,3,2,1,2,1,1
3812,2,2,2,2,2,0,6,2,1,4,1,1
3815,1,1,2,2,2,0,3,1,2,4,1,1
3818,2,1,1,2,2,0,7,2,1,4,1,1
3825,2,2,2,2,2,0,3,2,1,4,1,1
3834,2,1,2,2,2,1,6,1,2,3,1,4
3837,2,1,2,2,2,0,1,2,1,4,1,3
3841,2,1,2,2,2,2,4,1,2,4,1,1
3842,1,1,2,2,2,0,6,2,4,4,1,1
3848,2,1,2,2,2,1,2,2,1,2,1,1
3852,1,1,1,2,2,0,6,1,2,1,1,2
3854,2,1,2,2,2,1,4,1,2,1,1,1
3861,2,1,2,2,2,0,6,2,1,3,1,2
3862,2,2,2,2,2,0,7,1,3,1,1,1
3875,2,1,2,2,2,2,4,1,1,1,1,1
3880,2,1,2,2,2,1,3,2,1,4,1,1
3887,2,1,2,2,2,0,6,2,1,3,1,1
3892,1,1,1,2,1,0,1,3,1,1,1,3
3904,2,1,2,2,2,2,4,1,2,4,1,4
3905,1,1,2,2,1,0,7,1,3,4,1,1
3909,2,1,2,2,2,0,6,2,4,3,1,1
3912,2,2,1,2,2,0,6,3,1,3,1,1
3921,2,2,1,2,2,0,6,1,2,1,1,1
3927,1,1,2,2,1,0,7,1,2,1,1,1
3935,1,1,2,2,2,2,4,1,2,4,1,1
3937,1,1,2,2,2,2,4,1,3,4,1,2
3942,2,1,2,2,2,1,3,2,1,4,1,3
3957,2,1,2,2,2,1,7,1,2,3,1,4
3958,1,1,2,2,2,0,7,1,1,4,1,1
3962,1,1,2,2,2,2,4,1,1,4,1,5
3965,2,2,2,2,2,0,7,1,1,1,1,1
3971,2,1,2,2,2,1,4,1,2,3,1,4
3979,2,2,2,2,2,0,6,2,1,3,1,1
3991,2,1,2,2,2,0,7,1,2,4,1,2
3997,2,1,2,2,2,2,4,2,1,3,1,1
3998,1,1,2,2,2,2,4,1,2,1,1,1
4007,2,2,2,2,2,0,7,1,2,1,1,1
4011,2,1,2,2,2,3,7,1,3,3,1,2
4012,1,1,2,2,2,0,7,1,2,1,1,1
4017,2,1,2,2,2,2,7,1,3,2,1,2
4021,2,1,2,2,2,0,3,2,1,1,1,3
4030,1,1,2,2,1,2,1,2,1,4,1,1
4055,1,1,2,2,2,2,4,1,2,4,1,1
4059,2,2,2,2,2,0,7,1,2,1,1,1
4062,2,2,2,2,2,0,7,1,2,1,1,3
4074,2,1,2,2,2,0,7,1,2,4,1,2
4088,2,1,2,2,1,0,3,2,2,1,1,1
4091,2,1,2,1,1,3,6,1,2,4,1,4
4093,2,1,2,2,2,0,7,1,2,1,1,1
4094,2,1,2,2,2,1,6,1,2,4,1,5
4098,2,1,2,2,2,2,4,1,2,1,1,1
4102,2,1,1,2,2,1,6,1,3,4,1,5
4108,2,2,2,2,2,0,7,2,1,4,1,4
4109,2,1,2,2,2,0,3,1,2,1,1,1
4111,2,1,2,2,1,2,4,1,2,1,1,2
4112,1,1,1,2,2,2,7,1,2,1,1,1
4116,2,1,2,2,2,1,3,1,1,4,1,3
4119,2,1,1,2,2,2,7,1,2,4,1,5
4121,2,1,2,2,2,0,7,1,3,3,1,2
4123,2,1,2,2,2,0,7,2,4,2,1,1
4125,2,2,2,2,2,0,3,1,2,1,1,1
4128,1,2,2,2,2,0,7,1,2,2,1,5
4129,1,1,2,2,2,0,7,2,4,4,1,5
4136,2,1,2,2,2,1,7,1,2,3,1,1
4137,2,1,2,2,2,0,7,1,1,4,1,5
4140,2,1,2,2,2,1,3,1,2,3,1,3
4147,2,1,2,1,2,0,7,1,3,3,1,2
4157,1,1,2,2,2,0,6,2,1,4,1,1
4158,2,1,1,2,2,0,3,2,1,3,1,1
4161,1,1,2,2,2,2,4,2,4,4,1,2
4163,2,1,1,2,2,0,7,2,1,3,1,4
4164,1,1,2,2,2,3,3,2,4,4,1,1
4174,1,1,2,2,2,3,3,2,4,4,1,1
4203,1,1,2,2,2,0,3,1,2,4,1,3
4211,2,2,2,2,2,0,2,2,4,4,1,1
4212,1,2,2,2,2,0,1,3,4,3,1,3
4224,1,1,2,2,2,0,7,2,1,4,1,1
4225,2,1,2,2,2,0,3,1,2,4,1,2
4232,1,1,2,2,2,1,3,2,4,4,1,1
4233,2,1,2,2,2,0,7,1,2,1,1,1
4236,2,2,2,2,2,0,7,1,2,4,1,1
4248,2,1,2,2,1,2,1,1,1,4,1,1
4256,1,1,2,2,2,2,7,1,2,1,1,1
4266,1,1,2,1,2,0,6,1,2,1,1,4
4271,2,1,2,2,2,0,7,2,4,4,1,5
4274,2,2,2,2,2,0,7,1,1,2,1,1
4278,2,1,1,2,2,0,3,2,1,4,1,1
4279,1,1,2,2,2,2,4,2,4,4,1,1
4283,1,1,2,2,2,0,7,1,2,1,1,4
4292,2,1,2,2,2,0,7,1,1,1,1,1
4293,2,1,2,2,2,3,7,1,2,4,1,1
4297,2,1,2,2,2,1,7,1,2,1,1,1
4301,1,1,2,2,2,2,4,1,2,1,1,3
4302,2,1,2,2,2,2,7,2,1,4,1,1
4303,2,1,2,2,2,2,4,2,4,4,1,3
4304,1,2,2,2,2,0,3,2,1,4,1,1
4305,2,2,2,2,2,0,7,2,1,4,1,2
4306,1,1,2,2,2,2,4,1,2,1,1,4
4307,2,1,2,2,2,2,4,1,2,2,1,1
4308,2,1,2,2,2,2,4,2,3,4,1,4
4311,2,2,2,2,2,1,3,2,3,4,1,2
4313,1,2,2,2,2,0,7,1,2,1,1,1
4320,2,1,2,1,2,0,3,1,2,4,1,1
4323,1,1,2,2,2,0,6,1,2,2,1,3
4328,1,1,2,2,2,0,7,1,2,4,1,1
4335,1,1,2,2,2,0,7,1,2,4,1,2
4336,2,1,2,2,2,2,4,1,2,1,1,1
4344,2,1,2,2,2,2,7,1,2,1,1,1
4346,1,1,2,1,2,0,3,1,2,4,1,1
4348,2,1,2,2,2,3,4,1,3,4,1,1
4354,2,1,2,2,2,2,4,1,2,1,1,1
4362,1,1,2,2,2,2,3,1,2,4,1,2
4367,2,1,2,2,2,0,6,2,1,4,1,1
4369,2,1,2,2,2,2,4,2,4,4,1,2
4375,1,1,2,2,2,2,3,2,4,4,1,2
4378,2,1,2,2,2,2,4,2,4,4,1,2
4384,1,1,2,1,2,1,3,2,4,2,1,3
4387,2,1,2,2,2,2,4,1,2,1,1,1
4391,2,2,2,2,2,0,7,1,3,4,1,1
4393,2,1,2,2,2,1,3,2,4,3,1,1
4400,2,1,1,2,2,1,3,2,4,3,1,1
4403,2,1,2,1,2,2,4,1,2,3,1,1
4407,1,1,2,2,2,0,7,1,3,3,1,1
4411,2,1,2,1,2,2,4,1,2,2,1,1
4413,2,1,2,2,2,1,6,1,2,4,1,1
4416,2,1,2,2,2,1,7,1,2,1,1,3
4421,1,1,2,1,2,3,3,1,3,1,1,2
4422,2,1,2,2,2,0,3,2,4,4,1,1
4428,1,1,2,2,2,1,7,2,3,2,1,5
4432,1,1,1,2,2,3,3,2,4,2,1,3
4435,2,2,2,2,2,0,7,2,4,2,1,1
4444,1,1,2,2,2,0,3,2,2,4,1,1
4446,1,1,2,2,2,0,6,1,2,4,1,3
4449,2,2,2,2,2,0,3,2,4,2,1,1
4450,2,1,2,2,2,1,7,1,2,1,1,1
4457,1,1,2,2,2,1,6,1,2,1,1,4
4464,2,2,2,2,2,0,7,1,2,4,1,2
4466,1,2,2,2,2,0,6,1,3,1,1,3
4468,2,1,2,2,2,1,3,2,1,4,1,1
4469,2,2,2,2,2,0,7,1,2,1,1,1
4470,1,1,2,2,2,1,6,2,4,4,1,1
4478,2,1,2,1,1,1,7,1,2,1,1,1
4481,2,2,2,2,2,0,3,1,2,1,1,3
4489,2,1,2,1,1,1,6,1,3,1,1,1
4494,1,1,2,2,2,2,4,2,4,2,1,3
4495,2,1,2,2,2,1,7,1,3,4,1,1
4502,2,1,2,1,2,0,6,1,1,4,1,4
4506,2,2,1,2,2,1,7,2,4,3,1,1
4513,2,1,2,2,2,2,4,3,4,3,1,3
4520,1,1,2,2,2,2,7,1,2,4,1,5
4522,2,2,1,2,2,0,6,2,4,2,1,5
4524,2,1,2,2,2,0,3,3,4,4,1,1
4525,2,2,2,2,2,0,6,3,4,1,1,1
4526,2,1,2,2,2,0,6,3,1,2,1,1
4527,2,1,2,2,2,0,7,2,4,4,1,1
4528,2,2,2,2,2,0,3,1,2,1,1,1
4529,1,1,2,2,2,2,4,1,2,1,1,3
4530,2,1,2,2,2,0,7,2,4,3,1,3
4532,1,1,2,2,2,2,4,1,2,1,1,4
4537,2,1,2,2,2,0,6,2,1,3,1,2
